Id,SalePrice

1980,174837.5107
1981,182466.362
1982,175910.7377
1983,175291.0126
1984,173067.5857
1985,177698.8312
1986,177320.9426
1987,173879.7089
1988,172798.0087
1989,173156.5338
1990,173711.9888
1991,175813.9481
1992,173871.9498
1993,172498.3018
1994,174269.1329
1995,172971.5104
1996,174962.3429
1997,178155.835
1998,183587.9836
1999,175493.6417
2000,177169.3451
2001,176764.5539
2002,178438.9526
2003,178697.3374
2004,178232.0939
2005,175755.8029
2006,175947.583
2007,177872.4289
2008,175189.2106
2009,174039.9994
2010,173618.7424
2011,169351.2406
2012,174080.7449
2013,173347.5586
2014,173499.5544
2015,173565.2389
2016,174654.6845
2017,173377.8122
2018,169400.0198
2019,170362.5046
2020,168388.0691
2021,167746.289
2022,173584.1354
2023,171287.2375
2024,174261.2228
2025,179597.7631
2026,174183.5496
2027,172744.3542
2028,173074.8094
2029,172347.377
2030,177176.4175
2031,175925.1023
2032,176753.1281
2033,176955.8671
2034,172435.1304
2035,174111.5341
2036,173700.3433
2037,173801.9944
2038,177043.4966
2039,174117.5216
2040,176324.4278
2041,175836.6624
2042,173878.0198
2043,173511.7631
2044,174392.6743
2045,174727.9907
2046,172413.9678
2047,170350.145
2048,171795.2592
2049,173980.7418
2050,170958.2107
2051,163836.2686
2052,169998.2254
2053,170087.2422
2054,164087.1276
2055,171181.3019
2056,167083.4426
2057,168638.8321
2058,173326.9044
2059,169730.4887
2060,172846.2526
2061,172061.5678
2062,169368.8599
2063,166075.8041
2064,171481.929
2065,168482.1122
2066,170333.3083
2067,164841.298
2068,172896.3089
2069,163866.9204
2070,166247.6304
2071,168631.5125
2072,176596.6553
2073,170181.4225
2074,173193.2144
2075,170949.3394
2076,169544.2291
2077,170033.8897
2078,168453.8497
2079,170468.1107
2080,167129.4617
2081,167591.8625
2082,169428.5843
2083,169661.9888
2084,167246.315
2085,168552.9739
2086,167763.6612
2087,169287.4374
2088,166915.242
2089,165031.2516
2090,167486.943
2091,165810.6902
2092,169244.838
2093,166204.7287
2094,165966.7649
2095,171831.7063
2096,162637.3993
2097,164577.5711
2098,172608.4397
2099,164209.7764
2100,163073.2818
